What are the Pokemon (up to Gen 3) in each habitat?
Location,Pokemon
cave,zubat
cave,diglett
cave,golbat
cave,dugtrio
cave,gastly
cave,onix
cave,haunter
cave,gengar
cave,misdreavus
cave,dunsparce
cave,swinub
cave,crobat
cave,wobbuffet
cave,steelix
cave,piloswine
cave,whismur
cave,nosepass
cave,sableye
cave,mawile
cave,loudred
cave,exploud
cave,lunatone
cave,solrock
cave,wynaut
cave,snorunt
cave,regirock
cave,regice
cave,registeel
cave,glalie
forest,caterpie
forest,weedle
forest,pidgey
forest,paras
forest,venonat
forest,bellsprout
forest,metapod
forest,butterfree
forest,kakuna
forest,beedrill
forest,pidgeotto
forest,pidgeot
forest,pikachu
forest,raichu
forest,parasect
forest,venomoth
forest,weepinbell
forest,victreebel
forest,exeggcute
forest,pinsir
forest,hoothoot
forest,ledyba
forest,spinarak
forest,noctowl
forest,ledian
forest,pichu
forest,togepi
forest,natu
forest,aipom
forest,yanma
forest,murkrow
forest,pineco
forest,heracross
forest,sneasel
forest,stantler
forest,togetic
forest,xatu
forest,sudowoodo
forest,forretress
forest,celebi
forest,treecko
forest,wurmple
forest,seedot
forest,shroomish
forest,slakoth
forest,nincada
forest,skitty
forest,volbeat
forest,illumise
forest,swablu
forest,sceptile
forest,silcoon
forest,beautifly
forest,cascoon
forest,dustox
forest,nuzleaf
forest,shiftry
forest,breloom
forest,vigoroth
forest,slaking
forest,ninjask
forest,shedinja
forest,delcatty
forest,kecleon
forest,duskull
forest,tropius
forest,dusclops
forest,exeggutor
forest,ariados
forest,grovyle
forest,altaria
grassland,bulbasaur
grassland,rattata
grassland,ekans
grassland,nidoran-f
grassland,nidoran-m
grassland,vulpix
grassland,oddish
grassland,growlithe
grassland,ponyta
grassland,farfetchd
grassland,venusaur
grassland,raticate
grassland,arbok
grassland,nidorina
grassland,nidoqueen
grassland,nidorino
grassland,nidoking
grassland,ninetales
grassland,jigglypuff
grassland,wigglytuff
grassland,gloom
grassland,arcanine
grassland,rapidash
grassland,doduo
grassland,drowzee
grassland,lickitung
grassland,tangela
grassland,kangaskhan
grassland,scyther
grassland,tauros
grassland,chikorita
grassland,cyndaquil
grassland,sentret
grassland,hypno
grassland,electabuzz
grassland,bayleef
grassland,meganium
grassland,quilava
grassland,typhlosion
grassland,furret
grassland,igglybuff
grassland,mareep
grassland,hoppip
grassland,sunkern
grassland,girafarig
grassland,elekid
grassland,miltank
grassland,raikou
grassland,entei
grassland,suicune
grassland,flaaffy
grassland,ampharos
grassland,bellossom
grassland,jumpluff
grassland,sunflora
grassland,scizor
grassland,torchic
grassland,poochyena
grassland,zigzagoon
grassland,taillow
grassland,electrike
grassland,plusle
grassland,minun
grassland,gulpin
grassland,combusken
grassland,blaziken
grassland,mightyena
grassland,linoone
grassland,swellow
grassland,manectric
grassland,roselia
grassland,swalot
grassland,zangoose
grassland,seviper
grassland,castform
grassland,chimecho
grassland,ivysaur
grassland,vileplume
grassland,dodrio
grassland,skiploom
mountain,charmander
mountain,mankey
mountain,machop
mountain,geodude
mountain,charmeleon
mountain,charizard
mountain,clefairy
mountain,clefable
mountain,primeape
mountain,machoke
